Name,Position,Salary,Team,Opp,All Scores,Best Score,Best / Sal
Jesse James,TE,2500,DET,IND,"[0.0, 0.0, 11.8, 4.1, nan, 1.3, 0.0]",11.8,4.72
Isaiah Ford,WR,3100,MIA,LAR,"[3.3, 14.6, 3.4, 8.8, 4.3, 0.0, nan]",14.6,4.71
Denver Broncos,DST,3000,DEN,LAC,"[2.0, 5.0, 1.0, 6.0, nan, 14.0, 2.0]",14.0,4.67
Mitchell Trubisky,QB,5200,CHI,NO,"[24.3, 15.2, 12.6, nan, nan, nan, nan]",24.3,4.67
Albert Okwuegbunam,TE,2800,DEN,LAC,"[nan, nan, nan, nan, nan, 6.5, 13.0]",13.0,4.64
Nelson Agholor,WR,4700,LV,CLE,"[9.3, 2.9, 5.2, 14.4, 14.7, nan, 21.7]",21.7,4.62
JuJu Smith-Schuster,WR,5400,PIT,BAL,"[24.9, 11.8, 16.3, nan, 6.8, 2.6, 17.5]",24.9,4.61
Melvin Gordon III,RB,5600,DEN,LAC,"[15.6, 16.4, 7.8, 25.8, nan, nan, 12.0]",25.8,4.61
Jeff Smith,WR,3300,NYJ,KC,"[nan, nan, nan, 15.1, 5.3, 1.8, 0.0]",15.1,4.58
Marquez Callaway,WR,3400,NO,CHI,"[nan, 0.0, 0.0, 2.6, 7.4, nan, 15.5]",15.5,4.56
Jalen Guyton,WR,3600,LAC,DEN,"[2.6, 8.4, 4.3, 14.2, 5.5, nan, 16.4]",16.4,4.56
Tre'Quan Smith,WR,4700,NO,CHI,"[1.4, 13.6, 8.2, 21.4, 2.8, nan, 9.4]",21.4,4.55
Derek Carr,QB,5500,LV,CLE,"[13.6, 21.7, 15.4, 20.4, 25.0, nan, 20.3]",25.0,4.55
Chris Hogan,WR,3000,NYJ,KC,"[1.0, 13.5, 0.0, 6.3, 5.0, nan, nan]",13.5,4.5
Sammy Watkins,WR,4800,KC,NYJ,"[21.5, 2.1, 13.2, 6.3, 10.4, nan, nan]",21.5,4.48
N'Keal Harry,WR,3400,NE,BUF,"[6.9, 15.2, 5.6, 11.1, nan, 0.0, 1.6]",15.2,4.47
Kirk Cousins,QB,6000,MIN,GB,"[22.8, 1.5, 21.4, 14.9, 15.2, 26.7, nan]",26.7,4.45
Kansas City Chiefs,DST,4500,KC,NYJ,"[7.0, 5.0, 7.0, 20.0, -1.0, 3.0, 18.0]",20.0,4.44
Nick Mullens,QB,4000,SF,SEA,"[nan, 1.6, 17.7, 8.0, nan, nan, nan]",17.7,4.42
Deonte Harris,WR,3300,NO,CHI,"[3.6, 6.4, 2.5, 3.0, nan, nan, 14.6]",14.6,4.42
New Orleans Saints,DST,3400,NO,CHI,"[15.0, 4.0, -3.0, 4.0, 3.0, nan, 1.0]",15.0,4.41
Jamison Crowder,WR,5800,NYJ,KC,"[24.5, nan, nan, 17.4, 25.6, 11.8, nan]",25.6,4.41
Ryan Tannehill,QB,6800,TEN,CIN,"[19.4, 26.8, 13.7, nan, 30.0, 29.6, 17.3]",30.0,4.41
Mike Thomas,WR,3000,CIN,TEN,"[3.7, 13.1, 2.9, 1.5, -0.3, 2.0, 7.4]",13.1,4.37
Philip Rivers,QB,5900,IND,DET,"[16.8, 11.9, 12.7, 11.2, 7.6, 25.7, nan]",25.7,4.36
Jimmy Garoppolo,QB,5400,SF,SEA,"[19.3, 13.2, nan, nan, 1.1, 23.5, 9.5]",23.5,4.35
Jared Goff,QB,6500,LAR,MIA,"[11.5, 24.0, 28.2, 11.7, 25.4, 15.9, 16.9]",28.2,4.34
John Brown,WR,4400,BUF,NE,"[19.0, 18.2, 0.0, 8.2, nan, 0.0, nan]",19.0,4.32
Stefon Diggs,WR,6800,BUF,NE,"[16.6, 29.3, 14.9, 17.5, 20.6, 16.6, 10.8]",29.3,4.31
Adam Thielen,WR,7200,MIN,GB,"[31.0, 6.1, 12.3, 26.2, 29.3, 14.1, nan]",31.0,4.31
Chicago Bears,DST,2800,CHI,NO,"[3.0, 12.0, 4.0, 2.0, 6.0, 11.0, 9.0]",12.0,4.29
Buffalo Bills,DST,3300,BUF,NE,"[8.0, 2.0, 5.0, 6.0, -4.0, 3.0, 14.0]",14.0,4.24
Foster Moreau,TE,2500,LV,CLE,"[0.0, 4.1, 10.5, 1.8, 0.0, nan, 0.0]",10.5,4.2
Tyler Boyd,WR,6600,CIN,TEN,"[7.3, 20.2, 22.5, 16.4, 8.2, 12.9, 27.7]",27.7,4.2
Cole Beasley,WR,5300,BUF,NE,"[9.8, 12.0, 16.0, 12.2, 11.3, 14.5, 22.2]",22.2,4.19
Eric Ebron,TE,3900,PIT,BAL,"[2.8, 7.3, 16.2, nan, 7.3, 2.9, 11.0]",16.2,4.15
Green Bay Packers,DST,2900,GB,MIN,"[5.0, 12.0, 3.0, 5.0, nan, -1.0, 6.0]",12.0,4.14
Nick Chubb,RB,6400,CLE,LV,"[5.6, 26.3, 24.0, 4.3, nan, nan, nan]",26.3,4.11
Nick Boyle,TE,3000,BAL,PIT,"[2.3, 2.1, 7.5, 1.9, 1.2, 12.3, nan]",12.3,4.1
Tyron Johnson,WR,3000,LAC,DEN,"[nan, nan, nan, 12.3, 0.7, nan, 1.0]",12.3,4.1
Anthony Miller,WR,4300,CHI,NO,"[17.6, 0.0, 13.0, 4.6, 6.8, 3.8, 5.0]",17.6,4.09
Noah Fant,TE,4700,DEN,LAC,"[19.1, 17.7, 9.6, 8.5, nan, nan, 6.8]",19.1,4.06
Aaron Rodgers,QB,7600,GB,MIN,"[30.8, 19.2, 24.5, 29.6, nan, 5.8, 27.3]",30.8,4.05
Rashard Higgins,WR,4200,CLE,LV,"[1.9, 0.0, nan, nan, 12.1, 8.3, 17.0]",17.0,4.05
Henry Ruggs III,WR,4900,LV,CLE,"[9.6, 1.4, nan, nan, 19.8, nan, 6.5]",19.8,4.04
Allen Robinson II,WR,7000,CHI,NO,"[12.3, 6.3, 28.3, 23.1, 19.0, 10.3, 11.0]",28.3,4.04
Chris Carson,RB,6200,SEA,SF,"[24.6, 19.8, 10.6, 25.0, 19.9, nan, 5.1]",25.0,4.03
Sony Michel,RB,4000,NE,BUF,"[9.7, 1.9, 16.0, nan, nan, nan, nan]",16.0,4.0
Cole Kmet,TE,2500,CHI,NO,"[0.0, 2.2, 0.0, 0.0, 0.0, 10.0, 6.5]",10.0,4.0
New York Jets,DST,2000,NYJ,KC,"[7.0, 4.0, 0.0, 8.0, 2.0, 6.0, 5.0]",8.0,4.0
Jerick McKinnon,RB,5700,SF,SEA,"[13.4, 13.7, 16.7, 22.7, 2.5, 4.8, -0.1]",22.7,3.98
Danny Amendola,WR,3300,DET,IND,"[13.1, 4.1, 2.8, 7.7, nan, 5.1, 9.2]",13.1,3.97
A.J. Brown,WR,6900,TEN,CIN,"[8.9, nan, nan, nan, 21.2, 22.8, 27.3]",27.3,3.96
Los Angeles Rams,DST,3800,LAR,MIA,"[4.0, 7.0, 4.0, 11.0, 12.0, 0.0, 15.0]",15.0,3.95
Cooper Kupp,WR,6500,LAR,MIA,"[8.0, 13.0, 25.7, 17.7, 11.6, 4.1, 11.9]",25.7,3.95
Mark Andrews,TE,5800,BAL,PIT,"[22.8, 3.9, 5.2, 20.7, 17.6, 4.1, nan]",22.8,3.93
Jason Witten,TE,2500,LV,CLE,"[1.2, 1.3, 0.0, 9.8, 2.6, nan, 1.6]",9.8,3.92
Raheem Mostert,RB,6400,SF,SEA,"[25.1, 18.7, nan, nan, 14.9, 9.6, nan]",25.1,3.92
A.J. Green,WR,4500,CIN,TEN,"[10.1, 5.9, 8.6, 1.3, 0.0, 17.6, 15.2]",17.6,3.91
Chris Thompson,WR,3000,SF,SEA,"[2.6, 11.7, 8.8, 0.0, 7.2, 4.5, nan]",11.7,3.9
James Conner,RB,6400,PIT,BAL,"[3.7, 20.1, 24.9, nan, 15.3, 17.2, 14.1]",24.9,3.89
Myles Gaskin,RB,5200,MIA,LAR,"[10.6, 14.2, 14.5, 9.2, 20.1, 16.6, nan]",20.1,3.87
Mecole Hardman,WR,4700,KC,NYJ,"[1.6, 7.3, 18.1, 12.7, 7.0, 0.0, 9.0]",18.1,3.85
Donovan Peoples-Jones,WR,3800,CLE,LV,"[nan, nan, nan, 0.0, 0.0, 0.0, 14.6]",14.6,3.84
Demarcus Robinson,WR,3100,KC,NYJ,"[5.0, 5.8, 0.0, nan, 2.2, 11.9, 1.4]",11.9,3.84
Irv Smith Jr.,TE,3000,MIN,GB,"[2.1, 1.3, 0.0, 0.0, 10.4, 11.5, nan]",11.5,3.83
Dalvin Cook,RB,7500,MIN,GB,"[21.8, 17.1, 25.9, 28.6, 19.9, nan, nan]",28.6,3.81
Lamar Jackson,QB,7400,BAL,PIT,"[27.5, 17.6, 14.2, 26.0, 14.5, 28.2, nan]",28.2,3.81
Parris Campbell,WR,3700,IND,DET,"[14.0, 0.7, nan, nan, nan, nan, nan]",14.0,3.78
Travis Kelce,TE,6600,KC,NYJ,"[17.0, 24.0, 14.7, 10.0, 24.8, 21.5, 6.1]",24.8,3.76
Drew Brees,QB,6300,NO,CHI,"[14.4, 15.5, 23.5, 16.5, 22.1, nan, 23.7]",23.7,3.76
Tee Higgins,WR,5600,CIN,TEN,"[0.0, 6.5, 21.0, 13.0, 10.2, 18.7, 18.8]",21.0,3.75
Darrell Henderson,RB,5900,LAR,MIA,"[0.6, 20.1, 19.0, 4.7, 21.8, 9.2, 9.7]",21.8,3.69
David Njoku,TE,3800,CLE,LV,"[14.0, nan, nan, nan, 1.6, 1.7, 10.0]",14.0,3.68
DeVante Parker,WR,5700,MIA,LAR,"[8.7, 16.3, 11.9, 21.0, 13.0, 6.5, nan]",21.0,3.68
David Montgomery,RB,5900,CHI,NO,"[8.4, 21.7, 7.4, 10.7, 18.9, 13.7, 11.9]",21.7,3.68
Devin Singletary,RB,5100,BUF,NE,"[10.3, 9.6, 16.1, 18.7, 4.3, 5.5, 6.7]",18.7,3.67
D.K. Metcalf,WR,7500,SEA,SF,"[19.5, 19.2, 19.0, 14.6, 27.3, nan, 4.3]",27.3,3.64
Brandon Aiyuk,WR,5800,SF,SEA,"[nan, 4.1, 21.1, 13.6, 7.4, 9.2, 17.5]",21.1,3.64
Matthew Stafford,QB,6400,DET,IND,"[17.2, 17.2, 18.5, 23.3, nan, 13.3, 18.4]",23.3,3.64
Jacob Hollister,TE,2500,SEA,SF,"[1.9, 0.0, 9.1, 0.0, 0.0, nan, 5.2]",9.1,3.64
T.J. Yeldon,RB,4000,BUF,NE,"[nan, nan, 1.8, 0.0, 14.4, nan, nan]",14.4,3.6
Austin Hooper,TE,4000,CLE,LV,"[3.5, 4.2, 5.5, 14.4, 10.7, 10.2, nan]",14.4,3.6
Darnell Mooney,WR,3500,CHI,NO,"[6.8, 12.6, 3.9, 9.9, 3.5, 6.6, 7.0]",12.6,3.6
Adrian Peterson,RB,4000,DET,IND,"[14.4, 4.1, 9.5, 9.6, nan, 12.8, 4.0]",14.4,3.6
Damiere Byrd,WR,3700,NE,BUF,"[0.0, 13.2, 5.7, 13.0, nan, 6.8, 2.6]",13.2,3.57
Isaiah McKenzie,WR,3000,BUF,NE,"[4.7, 6.7, 2.0, 3.9, 10.7, 1.4, 2.3]",10.7,3.57
Ross Dwelley,TE,2500,SF,SEA,"[0.0, 1.5, 8.9, 0.0, 0.0, 0.0, 0.0]",8.9,3.56
Giovani Bernard,RB,5800,CIN,TEN,"[6.8, 7.5, 8.5, 1.9, 1.4, 11.8, 20.6]",20.6,3.55
Marcedes Lewis,TE,2500,GB,MIN,"[0.0, 1.4, 8.8, nan, nan, 0.0, 1.9]",8.8,3.52
Gerald Everett,TE,3700,LAR,MIA,"[1.7, 0.0, 5.4, 6.2, 13.0, 5.7, 12.8]",13.0,3.51
Jamaal Williams,RB,6100,GB,MIN,"[8.2, 8.3, 2.7, 18.5, nan, 3.4, 21.4]",21.4,3.51
Ray-Ray McCloud,WR,3000,PIT,BAL,"[0.0, 0.0, 0.0, nan, 10.5, 0.0, 3.2]",10.5,3.5
Kareem Hunt,RB,6900,CLE,LV,"[12.1, 24.1, 14.4, 19.1, 18.3, 7.7, 19.2]",24.1,3.49
Gabriel Davis,WR,3500,BUF,NE,"[3.6, 7.6, 12.1, 9.6, 10.8, 1.7, 2.1]",12.1,3.46
Greg Olsen,TE,3600,SEA,SF,"[12.4, 0.0, 11.1, 8.5, 3.0, nan, 3.8]",12.4,3.44
Virgil Green,TE,2800,LAC,DEN,"[2.0, 0.0, 0.0, 0.0, 2.4, nan, 9.6]",9.6,3.43
